id,link,direccion,titulo,descripcion,barrio,sub_barrio,precio,moneda,expensas,superficie,dormitorios,antiguedad,banos,fecha_scrape
13239818,argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--13239818,Juncal al 700,Departamento en Recoleta,"Alquiler, cuatro ambientes, retiro


excelente departamento cuatro ambientes ubicado en la zona de retiro.
La unidad se alquila sin muebles.


Cuenta con living comedor, cocina, balcón corrido al frente con vista al rio, palier privado, tres dormitorios, principal en suite, toilette, dos baños completos y comedor a nuevo.
Dispone de placares nuevos.",Barrio Norte,Recoleta,900,USD,,,3,50,2,2023-08-03 11:55:03.501207
12499458,argenprop.com/departamento-en-alquiler-en-palermo-soho-3-ambientes--12499458,Guatemala al 4700,Alquiler Impecable departamento de 3 ambientes en la torre “Palermo Twins”,"Impecable departamento de 3 ambientes en la torre palermo twins. Máxima categoría con terminaciones de primera calidad y amenities de lujo. Ubicado en el corazón de palermo soho, en zona de importante polo gastronómico. De fácil acceso y a metros de los principales medios de transporte.
                    Se ingresa a la unidad por palier privado, ubicado al contrafrente, muy luminoso",Palermo,Palermo Soho,1600,USD,40000,70.0,2,14,2,2023-08-03 11:55:03.501207
8206456,argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--8206456,"Gandhi 300, Piso 2",DEPARTAMENTO 2 AMBIENTES AL FRENTE CON BALCON - APTO PROFESIONAL,"Departamento 2 ambientes al frente con balcon - apto profesional - todo luz y sol - living  - dormitorio con placard - cocina independiente - baño completo - muy buen estado!
Excelente ubicación!

David peijovich propiedades ********
c.U.C.I.C.B.A. Matrícula nº 5078

""para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente",Villa Crespo,,180000,$,10500,40.0,1,40,1,2023-08-03 11:55:03.501207
13226185,argenprop.com/departamento-en-alquiler-en-villa-crespo-4-ambientes--13226185,AV.CORRIENTES 5700,4 AMBIENTES 3 BAÑOS MAS DEPENDENCIA,"4 ambientes 3 baños dependencia de servicio ,  todo luz y sol, estado excelente ,  av corrientes al 5700 frente a coto!!!    Metrobus, estacion de tren, subte !!!!!  Imperdible ubicacion !!!!    Pintado pulido plastificado, doble entrada doble circulacion , cocina amplia  , dependencia de servicio con baño con ducha.------

Consultar por video

por favor contactar via whatsapp .- Gracias",Villa Crespo,,250000,$,35000,87.0,3,45,3,2023-08-03 11:55:03.501207
14277239,argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14277239,CONDE al 2800,ALQUILER  - 3 AMB. C/ COCHERA  - CONDE 2800 - BELGRANO,"**************



Espectacular 3 ambientes en belgrano.
        
La unidad cuenta con amplio living comedor super luminoso con salida a balcón terraza. Cocina americana con horno y anafes a gas , muebles alto y bajo mesada, lavadero individual y caldera dual.&Nbsp; dos dormitorios : el principal en suite con baño completo. Segundo baño completo.
Equipos de aire",Belgrano,,790000,$,26000,75.0,2,4,2,2023-08-26 15:20:31.144011
3476114,argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--3476114,"Av Santa Fe 2800, Piso 6",ALQUILER | Dpto. Apto Profesional/Vivienda • Inmejorable ubicación: Palermo,"Buen estado general.
Reciclado.
Luz y sol. 
Aire acondicionado.
Amplio placard en dormitorio.

Óptima ubicación:
~ sobre av. Santa fe. Próximo a avenidas pueyrredón y coronel díaz.
~ Fácil acceso, diversas líneas de transporte.
~ A metros de la estación de subte agüero (línea d).
~ Zona con gran variedad de locales gastronómicos y comerciales, próximo a alto palermo.
~ Cercano a universidades, y",Barrio Norte,,200000,$,20000,42.0,1,60,1,2023-08-26 15:20:31.144011
5805983,argenprop.com/departamento-en-alquiler-en-congreso-2-ambientes--5805983,"Av B Rivadavia 1900, Piso 5",ALQUILER | Dpto. de 2 ambientes amplios • Congreso • Excelente ubicación,"Amplio 2 ambientes al contrafrente. 
Pasillo de entrada, living-comedor, hall de distribución, dormitorio con placard, baño completo con ventilación al exterior, cocina-comedor con lavadero incorporado. 
Buen estado general.
Excelente ubicación: sobre la avenida rivadavia, con acceso a múltiples medios de transporte y a metros de estación ""congreso"" subte ""a"". Cercano al centro y a las avenidas:",Congreso,,18000,$,17700,46.0,1,40,1,2023-08-26 15:20:31.144011
14303427,argenprop.com/departamento-en-alquiler-en-villa-luro-4-ambientes--14303427,ERCILLA 5800,"Departamento - Alquiler - Argentina, Capital Federal - ERCILLA 5800","Alquiler 4 ambientes en villa luro, capital federal.
Excelente dpto de 4 ambs. Grandes dimensiones , 3 dormitorios (uno en suite), living comedor, cocina, baño completo, lavadero independiente, calefacción individual por caldera con radiadores en todos los ambientes, puerta blindada. Una cochera en planta baja.


 (Mco-mco-3621)",Villa Luro,,400000,$,,95.0,3,0,2,2023-08-26 15:20:31.144011
14304195,argenprop.com/departamento-en-alquiler-en-puerto-madero-3-ambientes--14304195,Juana Manso  al 1100,Departamento en alquiler sin muebles en Puerto Madero,"Dúplex 3 ambientes en alquiler sin muebles en terrazas del dique - puerto madero
primera planta:
- cocina muy amplia con mucho espacio de guardado, con conexión para lavarropa.&Nbsp;
- living comedor con salida a balcón.&Nbsp;
- balcón aterrazado con hermosa vista directa al dique!
- Toilette de recepción.&Nbsp;
segunda planta:&nbsp;
- 2 habitaciones.&Nbsp;
- 1",Centro,Puerto Madero,1800,USD,95000,100.0,2,0,1,2023-08-26 15:20:31.144011
14304196,argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--14304196,Santa fe al 4900,Departamento 3 ambientes alquiler en Palermo,"Moderno y luminoso 3 ambientes amoblado y equipado en palermo hollywood, amplio balcón.

Living comedor muy espacioso con salida al balcón.&Nbsp;
- cocina separada muy bien equipada, con lavarropa incorporado.&Nbsp;
- dormitorio principal con cama",Palermo,Palermo Hollywood,1100,USD,40000,65.0,2,6,2,2023-08-26 15:20:31.144011
